Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Discount,Profit,Shipping_Cost
ORD-1025,2025-10-29,CUST-130,Home Office,North,Office Supplies,Appliances,Compact Refrigerator,7,1580.27,0.0,305.26,15.63
ORD-1026,2025-02-23,CUST-102,Corporate,West,Furniture,Furnishings,Monitor Stand,6,1779.23,0.0,309.27,18.27
ORD-1027,2025-04-14,CUST-132,Consumer,South,Office Supplies,Appliances,Coffee Maker,7,2411.7,0.0,609.87,5.61
ORD-1028,2025-11-09,CUST-135,Corporate,North,Furniture,Furnishings,Anti-Fatigue Mat,3,840.98,0.0,103.86,21.5
ORD-1029,2025-12-08,CUST-124,Consumer,South,Technology,Laptops,Dell XPS 13,6,1268.68,0.0,223.05,20.19
ORD-1030,2025-04-11,CUST-132,Home Office,West,Technology,Accessories,Monitor Arm,6,333.42,0.05,66.15,23.4
ORD-1031,2025-11-04,CUST-115,Home Office,West,Furniture,Tables,Executive Wooden Desk,1,328.07,0.0,93.83,11.03
ORD-1032,2025-04-27,CUST-122,Consumer,West,Technology,Phones,Samsung Galaxy S24,1,362.25,0.0,44.73,8.85
ORD-1033,2025-08-25,CUST-100,Home Office,East,Office Supplies,Appliances,Coffee Maker,7,367.2,0.05,39.54,6.85
ORD-1034,2025-10-12,CUST-113,Consumer,East,Technology,Laptops,Dell XPS 13,4,610.54,0.0,177.57,28.82
ORD-1035,2025-04-10,CUST-132,Consumer,North,Office Supplies,Paper,Cardstock Paper,6,3081.29,0.0,596.7,23.03
ORD-1036,2025-04-06,CUST-100,Corporate,North,Office Supplies,Paper,Multipurpose Printer Paper,4,1866.99,0.0,486.95,17.66
ORD-1037,2025-06-28,CUST-142,Home Office,East,Technology,Phones,Motorola Edge,2,91.17,0.05,13.67,23.98
ORD-1038,2025-04-03,CUST-125,Corporate,South,Furniture,Bookcases,Oak 4-Shelf Bookcase,7,754.32,0.05,165.48,31.08
ORD-1039,2025-08-05,CUST-120,Home Office,West,Furniture,Chairs,Ergonomic Mesh Chair,8,5186.92,0.2,324.3,14.9
ORD-1040,2025-04-06,CUST-123,Home Office,West,Technology,Copiers,Canon ImageCLASS,7,4231.04,0.1,267.41,31.88
ORD-1041,2025-03-03,CUST-119,Home Office,South,Technology,Accessories,USB-C Hub,1,56.99,0.2,8.52,14.36
ORD-1042,2025-10-11,CUST-113,Corporate,West,Office Supplies,Paper,Sticky Notes Pack,5,434.94,0.05,87.64,9.81
ORD-1043,2025-02-22,CUST-122,Corporate,East,Technology,Phones,Samsung Galaxy S24,7,5577.64,0.0,1585.49,20.47
ORD-1044,2025-11-27,CUST-117,Home Office,North,Furniture,Tables,Standing Desk 60in,6,486.14,0.1,27.4,29.3
ORD-1045,2025-05-02,CUST-101,Consumer,North,Furniture,Bookcases,Oak 4-Shelf Bookcase,1,706.08,0.0,230.83,21.94
ORD-1046,2025-10-19,CUST-105,Corporate,East,Technology,Copiers,Brother Laser Printer,7,2436.1,0.15,81.92,18.76
ORD-1047,2025-05-21,CUST-149,Consumer,South,Technology,Accessories,Wireless Mouse,7,4204.52,0.05,1255.12,15.0
ORD-1048,2025-11-08,CUST-132,Consumer,South,Furniture,Furnishings,Desk Lamp,5,245.35,0.15,50.37,11.1
ORD-1049,2025-05-27,CUST-119,Consumer,East,Technology,Phones,Samsung Galaxy S24,1,507.63,0.05,144.18,4.45
ORD-1050,2025-01-12,CUST-109,Home Office,West,Furniture,Furnishings,Desk Lamp,8,1185.59,0.05,192.32,10.34
ORD-1051,2025-01-28,CUST-127,Consumer,West,Office Supplies,Storage,Filing Cabinet 3-Drawer,1,337.8,0.05,45.38,7.26
ORD-1052,2025-02-04,CUST-105,Home Office,West,Technology,Accessories,Wireless Mouse,2,159.92,0.15,20.34,8.27
ORD-1053,2025-10-16,CUST-100,Consumer,East,Technology,Accessories,Wireless Mouse,9,6987.45,0.1,1597.5,18.0
ORD-1054,2025-04-09,CUST-100,Consumer,East,Furniture,Furnishings,Desk Lamp,5,3998.89,0.2,364.24,27.61
ORD-1055,2025-06-14,CUST-109,Home Office,North,Technology,Laptops,MacBook Air M3,1,763.93,0.05,94.96,24.49
ORD-1056,2025-10-15,CUST-133,Consumer,West,Office Supplies,Paper,Cardstock Paper,2,777.65,0.1,84.96,29.12
ORD-1057,2025-08-24,CUST-104,Consumer,East,Technology,Phones,Motorola Edge,7,4254.48,0.05,1009.24,9.81
ORD-1058,2025-07-11,CUST-133,Consumer,South,Furniture,Tables,Executive Wooden Desk,3,2174.29,0.0,496.82,28.08
ORD-1059,2025-01-30,CUST-141,Home Office,North,Technology,Copiers,Brother Laser Printer,8,5408.33,0.1,296.93,4.47
ORD-1060,2025-09-19,CUST-101,Consumer,East,Office Supplies,Binders,Zipper Binder,9,3385.74,0.05,558.89,25.33
ORD-1061,2025-12-26,CUST-103,Consumer,East,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,2,975.04,0.0,297.82,14.04
ORD-1062,2025-06-19,CUST-121,Consumer,North,Technology,Phones,Motorola Edge,2,232.13,0.0,41.88,5.95
ORD-1063,2025-02-16,CUST-121,Consumer,South,Office Supplies,Appliances,Compact Refrigerator,4,2591.47,0.1,211.25,9.7
ORD-1064,2025-05-07,CUST-121,Consumer,West,Office Supplies,Paper,Multipurpose Printer Paper,8,955.97,0.05,258.64,26.99
ORD-1065,2025-10-01,CUST-137,Corporate,East,Technology,Accessories,Wireless Mouse,7,1874.83,0.0,340.98,6.83
ORD-1066,2025-05-25,CUST-112,Corporate,West,Furniture,Bookcases,Oak 4-Shelf Bookcase,2,166.46,0.05,34.85,26.85
ORD-1067,2025-08-24,CUST-118,Consumer,North,Furniture,Furnishings,Anti-Fatigue Mat,2,413.63,0.0,75.52,32.88
ORD-1068,2025-05-30,CUST-120,Consumer,East,Furniture,Bookcases,Metal Storage Shelf,8,5751.69,0.0,1329.38,16.13
ORD-1069,2025-02-05,CUST-123,Consumer,South,Office Supplies,Art,Drafting Pens,6,4682.57,0.0,1314.51,29.27
ORD-1070,2025-07-13,CUST-114,Corporate,South,Office Supplies,Appliances,Compact Refrigerator,6,4649.25,0.1,394.67,26.56
ORD-1071,2025-05-20,CUST-146,Corporate,South,Furniture,Chairs,Executive Leather Chair,4,1066.82,0.05,168.23,17.54
ORD-1072,2025-09-18,CUST-122,Corporate,South,Technology,Copiers,Brother Laser Printer,4,859.57,0.05,215.37,22.06
ORD-1073,2025-02-07,CUST-134,Consumer,North,Technology,Laptops,HP Spectre,2,225.15,0.1,56.54,8.8
ORD-1074,2025-02-04,CUST-100,Corporate,South,Technology,Copiers,Epson EcoTank,9,5437.3,0.1,1226.95,8.96
ORD-1075,2025-12-05,CUST-113,Corporate,West,Technology,Phones,Samsung Galaxy S24,9,4960.27,0.0,1381.17,31.79
ORD-1076,2025-05-05,CUST-137,Corporate,East,Office Supplies,Storage,Filing Cabinet 3-Drawer,1,721.17,0.0,170.12,32.01
ORD-1077,2025-02-08,CUST-105,Home Office,East,Office Supplies,Paper,Sticky Notes Pack,1,433.77,0.15,77.03,7.85
ORD-1078,2025-04-07,CUST-136,Corporate,North,Furniture,Furnishings,Anti-Fatigue Mat,2,1227.06,0.15,101.47,29.28
ORD-1079,2025-06-08,CUST-146,Home Office,West,Office Supplies,Appliances,Compact Refrigerator,4,2327.87,0.1,428.93,25.21
ORD-1080,2025-10-19,CUST-125,Consumer,North,Office Supplies,Paper,Cardstock Paper,6,1978.01,0.0,666.23,7.91
ORD-1081,2025-05-21,CUST-139,Corporate,North,Technology,Accessories,Monitor Arm,4,2944.88,0.1,133.05,23.84
ORD-1082,2025-04-02,CUST-130,Corporate,South,Office Supplies,Appliances,Coffee Maker,8,5397.96,0.15,194.85,10.55
ORD-1083,2025-12-12,CUST-145,Consumer,East,Technology,Phones,Google Pixel 8,6,2533.73,0.05,417.47,4.75
ORD-1084,2025-05-17,CUST-109,Home Office,North,Furniture,Chairs,Drafting Stool,4,1747.42,0.15,146.08,14.1
ORD-1085,2025-12-13,CUST-116,Corporate,East,Office Supplies,Binders,Presentation Folder,8,3747.53,0.0,406.49,12.97
ORD-1086,2025-10-12,CUST-142,Corporate,West,Furniture,Chairs,Ergonomic Mesh Chair,7,5465.6,0.0,1308.06,30.54
ORD-1087,2025-03-04,CUST-139,Corporate,North,Technology,Laptops,Lenovo ThinkPad,3,539.33,0.15,28.9,9.1
ORD-1088,2025-10-13,CUST-115,Corporate,South,Technology,Laptops,Lenovo ThinkPad,2,853.29,0.0,170.82,20.91
ORD-1089,2025-11-15,CUST-103,Consumer,North,Office Supplies,Binders,Presentation Folder,3,1561.62,0.0,166.07,8.0
ORD-1090,2025-06-27,CUST-106,Corporate,North,Technology,Accessories,USB-C Hub,8,1351.59,0.05,285.62,13.86
ORD-1091,2025-08-17,CUST-102,Home Office,West,Office Supplies,Paper,Sticky Notes Pack,8,4655.84,0.15,867.95,15.71
ORD-1092,2025-06-14,CUST-120,Consumer,East,Furniture,Bookcases,Metal Storage Shelf,7,4148.8,0.1,280.56,31.05
ORD-1093,2025-10-12,CUST-117,Home Office,East,Technology,Copiers,Epson EcoTank,2,600.0,0.0,184.6,14.05
ORD-1094,2025-09-13,CUST-129,Consumer,North,Office Supplies,Art,Cutting Mat,6,3762.66,0.0,908.47,34.53
ORD-1095,2025-08-03,CUST-131,Consumer,East,Technology,Laptops,MacBook Air M3,8,4508.75,0.0,696.63,23.64
ORD-1096,2025-01-04,CUST-125,Corporate,North,Furniture,Bookcases,Oak 4-Shelf Bookcase,6,4396.35,0.0,1073.28,11.77
ORD-1097,2025-01-17,CUST-136,Corporate,South,Office Supplies,Appliances,Coffee Maker,6,734.73,0.15,143.79,22.12
ORD-1098,2025-09-25,CUST-144,Corporate,East,Furniture,Chairs,Ergonomic Mesh Chair,5,1578.82,0.05,128.13,8.32
ORD-1099,2025-12-29,CUST-100,Consumer,West,Office Supplies,Paper,Multipurpose Printer Paper,5,3360.54,0.0,1105.21,26.09
ORD-1100,2025-08-20,CUST-134,Home Office,East,Office Supplies,Appliances,Compact Refrigerator,4,1755.11,0.0,544.76,30.09
ORD-1101,2025-12-31,CUST-142,Consumer,South,Furniture,Chairs,Ergonomic Mesh Chair,9,2618.63,0.0,723.35,22.15
ORD-1102,2025-01-25,CUST-138,Consumer,South,Technology,Copiers,Epson EcoTank,6,2869.99,0.0,352.71,32.35
ORD-1103,2025-01-17,CUST-109,Corporate,North,Office Supplies,Art,Cutting Mat,8,4882.7,0.05,1222.0,26.17
ORD-1104,2025-07-17,CUST-107,Consumer,North,Office Supplies,Binders,Presentation Folder,9,6804.78,0.0,1880.8,32.61
ORD-1105,2025-10-09,CUST-120,Consumer,East,Furniture,Bookcases,Oak 4-Shelf Bookcase,7,1738.93,0.15,376.22,33.22
ORD-1106,2025-03-23,CUST-130,Home Office,East,Office Supplies,Paper,Sticky Notes Pack,7,308.36,0.05,38.43,6.86
ORD-1107,2025-04-08,CUST-102,Corporate,West,Furniture,Bookcases,Walnut Bookshelf,7,1837.52,0.05,473.71,13.2
ORD-1108,2025-07-29,CUST-132,Home Office,South,Furniture,Tables,Executive Wooden Desk,3,2094.08,0.0,667.33,19.93
ORD-1109,2025-04-06,CUST-134,Consumer,South,Technology,Laptops,MacBook Air M3,5,1958.14,0.05,263.42,15.75
ORD-1110,2025-12-25,CUST-119,Corporate,South,Technology,Accessories,Wireless Mouse,8,1923.86,0.0,304.74,4.35
ORD-1111,2025-07-12,CUST-145,Consumer,East,Technology,Phones,Motorola Edge,4,745.32,0.15,131.99,5.86
ORD-1112,2025-07-17,CUST-138,Home Office,South,Office Supplies,Appliances,Coffee Maker,9,5386.79,0.0,1079.49,29.81
ORD-1113,2025-11-06,CUST-144,Consumer,East,Furniture,Chairs,Executive Leather Chair,9,1452.19,0.1,172.49,4.85
ORD-1114,2025-02-16,CUST-122,Home Office,East,Furniture,Chairs,Ergonomic Mesh Chair,3,1830.65,0.05,195.06,29.11
ORD-1115,2025-09-26,CUST-146,Consumer,West,Furniture,Chairs,Executive Leather Chair,9,2898.61,0.0,635.29,4.42
ORD-1116,2025-08-14,CUST-111,Consumer,East,Technology,Phones,Google Pixel 8,2,671.27,0.0,110.72,26.15
ORD-1117,2025-03-31,CUST-117,Consumer,West,Technology,Copiers,Canon ImageCLASS,1,63.29,0.15,7.57,32.01
ORD-1118,2025-11-19,CUST-139,Corporate,East,Technology,Phones,iPhone 15 Pro,6,2545.14,0.15,158.11,8.03
ORD-1119,2025-10-31,CUST-140,Consumer,North,Technology,Phones,Samsung Galaxy S24,4,2002.44,0.1,151.56,31.19
ORD-1120,2025-11-10,CUST-130,Home Office,South,Office Supplies,Appliances,Coffee Maker,7,988.38,0.1,224.59,19.24
ORD-1121,2025-10-22,CUST-101,Consumer,South,Office Supplies,Storage,Filing Cabinet 3-Drawer,1,105.94,0.0,10.83,29.2
ORD-1122,2025-11-22,CUST-118,Corporate,South,Technology,Copiers,Brother Laser Printer,5,477.35,0.15,74.55,5.17
ORD-1123,2025-08-07,CUST-116,Corporate,North,Furniture,Tables,Standing Desk 60in,6,3014.51,0.0,958.27,34.15
ORD-1124,2025-10-12,CUST-111,Corporate,East,Technology,Copiers,Epson EcoTank,1,269.03,0.0,78.72,24.87
ORD-1125,2025-01-26,CUST-133,Consumer,North,Technology,Accessories,Wireless Mouse,9,1291.0,0.1,253.14,10.06
ORD-1126,2025-05-10,CUST-146,Corporate,South,Office Supplies,Binders,Zipper Binder,1,771.14,0.0,218.09,32.1
ORD-1127,2025-12-23,CUST-119,Consumer,North,Technology,Accessories,USB-C Hub,1,266.78,0.1,55.44,9.41
ORD-1128,2025-10-08,CUST-123,Consumer,East,Office Supplies,Art,Cutting Mat,9,6271.82,0.1,1338.77,30.03
ORD-1129,2025-07-18,CUST-102,Corporate,West,Technology,Copiers,Brother Laser Printer,3,481.76,0.0,48.32,22.15
ORD-1130,2025-08-24,CUST-119,Consumer,South,Technology,Copiers,Epson EcoTank,6,2831.09,0.0,847.6,12.93
ORD-1131,2025-07-24,CUST-116,Consumer,South,Furniture,Furnishings,Anti-Fatigue Mat,6,1463.73,0.05,401.47,27.96
ORD-1132,2025-09-24,CUST-121,Corporate,North,Technology,Copiers,Canon ImageCLASS,6,3001.51,0.1,498.01,3.31
ORD-1133,2025-12-19,CUST-101,Corporate,North,Technology,Laptops,MacBook Air M3,4,1183.5,0.0,407.56,9.43
ORD-1134,2025-05-02,CUST-149,Home Office,South,Office Supplies,Art,Marker Set 24-Pack,8,4116.78,0.1,193.93,32.96
ORD-1135,2025-12-25,CUST-130,Corporate,South,Furniture,Furnishings,Anti-Fatigue Mat,4,1125.87,0.1,65.33,31.63
ORD-1136,2025-11-10,CUST-121,Consumer,East,Office Supplies,Storage,Plastic Storage Bin,2,124.75,0.0,17.45,30.9
ORD-1137,2025-05-02,CUST-118,Home Office,West,Technology,Copiers,Canon ImageCLASS,7,2487.94,0.0,349.35,3.67
ORD-1138,2025-07-30,CUST-121,Consumer,West,Technology,Accessories,USB-C Hub,3,1646.94,0.0,177.31,11.25
ORD-1139,2025-11-28,CUST-148,Home Office,East,Furniture,Chairs,Ergonomic Mesh Chair,4,2369.0,0.1,363.85,20.39
ORD-1140,2025-04-06,CUST-140,Consumer,North,Furniture,Furnishings,Anti-Fatigue Mat,2,1274.94,0.05,389.66,12.08
ORD-1141,2025-05-05,CUST-111,Consumer,South,Technology,Accessories,Wireless Mouse,3,1872.48,0.0,468.99,23.24
ORD-1142,2025-01-14,CUST-113,Corporate,North,Technology,Laptops,MacBook Air M3,9,1881.69,0.15,196.88,19.47
ORD-1143,2025-03-25,CUST-101,Consumer,North,Office Supplies,Storage,Filing Cabinet 3-Drawer,2,1377.04,0.0,340.27,22.16
ORD-1144,2025-06-13,CUST-144,Consumer,East,Office Supplies,Paper,Sticky Notes Pack,6,889.56,0.05,133.47,29.52
ORD-1145,2025-09-14,CUST-104,Consumer,East,Technology,Phones,Motorola Edge,6,879.49,0.0,249.86,24.24
ORD-1146,2025-06-14,CUST-148,Home Office,West,Office Supplies,Art,Drafting Pens,4,907.01,0.0,211.15,32.97
ORD-1147,2025-10-12,CUST-100,Consumer,South,Technology,Phones,Google Pixel 8,5,480.49,0.05,112.17,15.72
ORD-1148,2025-08-30,CUST-123,Corporate,South,Furniture,Chairs,Executive Leather Chair,9,4233.49,0.0,975.53,13.96
ORD-1149,2025-10-21,CUST-119,Consumer,South,Technology,Copiers,Brother Laser Printer,7,997.29,0.0,281.94,8.0
ORD-1150,2025-12-24,CUST-104,Home Office,East,Furniture,Chairs,Drafting Stool,7,5295.66,0.05,996.0,22.77
ORD-1151,2025-05-16,CUST-146,Corporate,West,Office Supplies,Storage,Plastic Storage Bin,4,2184.25,0.0,578.22,15.6
ORD-1152,2025-03-10,CUST-140,Consumer,West,Furniture,Tables,Conference Table,9,6256.39,0.2,816.37,5.9
ORD-1153,2025-06-08,CUST-140,Consumer,South,Technology,Laptops,Dell XPS 13,4,2156.24,0.1,456.08,28.53
ORD-1154,2025-12-05,CUST-144,Home Office,West,Furniture,Tables,Executive Wooden Desk,9,2455.01,0.05,527.42,21.03
ORD-1155,2025-11-12,CUST-128,Consumer,North,Technology,Accessories,Monitor Arm,6,434.75,0.05,99.43,22.82
ORD-1156,2025-09-22,CUST-102,Corporate,West,Furniture,Tables,Standing Desk 60in,9,2821.08,0.0,691.29,20.08
ORD-1157,2025-09-28,CUST-142,Corporate,South,Furniture,Tables,Executive Wooden Desk,5,843.43,0.0,220.87,31.74
ORD-1158,2025-10-08,CUST-135,Home Office,East,Technology,Phones,Samsung Galaxy S24,3,283.85,0.0,46.61,12.12
ORD-1159,2025-01-27,CUST-128,Home Office,East,Furniture,Furnishings,Anti-Fatigue Mat,2,657.85,0.2,95.15,19.72
ORD-1160,2025-09-20,CUST-130,Home Office,East,Technology,Accessories,USB-C Hub,8,5102.6,0.0,1680.99,16.58
ORD-1161,2025-09-20,CUST-100,Consumer,North,Furniture,Bookcases,Walnut Bookshelf,7,3610.73,0.05,761.74,28.4
ORD-1162,2025-09-28,CUST-109,Consumer,North,Technology,Laptops,HP Spectre,8,2339.49,0.0,690.46,11.79
ORD-1163,2025-01-19,CUST-135,Consumer,South,Technology,Laptops,Lenovo ThinkPad,4,530.07,0.0,73.28,10.53
ORD-1164,2025-04-18,CUST-133,Consumer,North,Technology,Laptops,HP Spectre,5,2594.74,0.05,518.53,10.42
ORD-1165,2025-03-19,CUST-112,Corporate,South,Technology,Laptops,HP Spectre,3,1451.05,0.05,254.14,17.27
ORD-1166,2025-08-29,CUST-110,Home Office,West,Furniture,Bookcases,Metal Storage Shelf,6,2814.2,0.0,337.3,5.74
ORD-1167,2025-12-19,CUST-135,Consumer,West,Technology,Accessories,Mechanical Keyboard,9,4495.21,0.0,1384.37,24.43
ORD-1168,2025-01-27,CUST-131,Corporate,South,Furniture,Bookcases,Metal Storage Shelf,3,493.22,0.0,95.99,14.61
ORD-1169,2025-10-18,CUST-133,Consumer,West,Furniture,Furnishings,Anti-Fatigue Mat,4,3079.63,0.05,767.67,8.46
ORD-1170,2025-04-16,CUST-129,Consumer,West,Technology,Copiers,Epson EcoTank,7,2299.24,0.0,800.41,32.66
ORD-1171,2025-12-30,CUST-100,Home Office,North,Furniture,Tables,Conference Table,8,4863.1,0.0,1490.62,28.02
ORD-1172,2025-08-14,CUST-113,Consumer,East,Furniture,Chairs,Executive Leather Chair,9,754.2,0.15,96.3,12.78
ORD-1173,2025-06-29,CUST-122,Home Office,South,Office Supplies,Binders,Presentation Folder,6,2758.57,0.0,621.47,15.71
ORD-1174,2025-06-15,CUST-117,Corporate,South,Furniture,Tables,Conference Table,6,755.42,0.0,230.16,13.32
ORD-1175,2025-06-12,CUST-101,Consumer,East,Furniture,Tables,Conference Table,9,4198.53,0.0,749.15,22.4
ORD-1176,2025-11-17,CUST-145,Home Office,South,Technology,Copiers,Epson EcoTank,3,983.85,0.0,188.78,5.18
ORD-1177,2025-01-25,CUST-114,Home Office,West,Technology,Accessories,Mechanical Keyboard,4,1440.07,0.0,374.72,9.91
ORD-1178,2025-09-11,CUST-101,Corporate,East,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,3,496.65,0.0,109.83,27.14
ORD-1179,2025-02-25,CUST-114,Home Office,East,Technology,Accessories,Wireless Mouse,9,5664.75,0.0,818.23,25.13
ORD-1180,2025-04-07,CUST-103,Corporate,West,Technology,Phones,Google Pixel 8,4,605.58,0.05,164.36,26.18
ORD-1181,2025-04-26,CUST-134,Consumer,West,Furniture,Tables,Executive Wooden Desk,5,1594.28,0.2,47.38,7.28
ORD-1182,2025-09-03,CUST-137,Consumer,South,Office Supplies,Paper,Sticky Notes Pack,5,919.67,0.0,147.42,34.23
ORD-1183,2025-12-04,CUST-136,Home Office,West,Technology,Accessories,Wireless Mouse,5,3389.1,0.0,752.58,7.8
ORD-1184,2025-02-21,CUST-147,Corporate,West,Office Supplies,Storage,Filing Cabinet 3-Drawer,4,2759.03,0.0,935.46,7.26
ORD-1185,2025-07-11,CUST-116,Corporate,North,Technology,Laptops,HP Spectre,1,675.08,0.0,219.7,17.77
ORD-1186,2025-07-22,CUST-133,Consumer,South,Technology,Accessories,Wireless Mouse,7,2953.65,0.0,839.9,19.39
ORD-1187,2025-04-11,CUST-107,Consumer,North,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,3,212.81,0.0,72.17,26.6
ORD-1188,2025-11-10,CUST-130,Consumer,East,Office Supplies,Binders,Zipper Binder,3,481.14,0.0,59.95,24.13
ORD-1189,2025-12-18,CUST-107,Consumer,South,Office Supplies,Art,Marker Set 24-Pack,8,4950.72,0.05,795.63,9.58
ORD-1190,2025-02-18,CUST-135,Corporate,South,Technology,Phones,iPhone 15 Pro,7,335.52,0.2,46.89,12.37
ORD-1191,2025-09-15,CUST-112,Corporate,East,Furniture,Bookcases,Metal Storage Shelf,1,743.55,0.0,143.54,16.83
ORD-1192,2025-05-04,CUST-124,Consumer,West,Furniture,Furnishings,Desk Lamp,3,2133.71,0.05,294.24,29.11
ORD-1193,2025-04-29,CUST-138,Home Office,North,Office Supplies,Paper,Multipurpose Printer Paper,5,3915.21,0.1,648.0,8.78
ORD-1194,2025-08-12,CUST-110,Consumer,South,Office Supplies,Storage,Plastic Storage Bin,2,199.47,0.05,18.32,33.88
ORD-1195,2025-03-29,CUST-143,Corporate,East,Technology,Phones,iPhone 15 Pro,8,3962.99,0.0,546.47,6.0
ORD-1196,2025-04-18,CUST-146,Home Office,North,Office Supplies,Paper,Cardstock Paper,8,1669.14,0.1,439.25,6.17
ORD-1197,2025-08-12,CUST-141,Corporate,North,Furniture,Chairs,Executive Leather Chair,7,3484.31,0.05,554.44,20.24
ORD-1198,2025-03-27,CUST-141,Corporate,South,Technology,Laptops,Dell XPS 13,9,6903.79,0.0,1254.65,7.76
ORD-1199,2025-03-11,CUST-118,Home Office,West,Office Supplies,Appliances,Coffee Maker,8,1484.07,0.0,394.41,3.06
ORD-1200,2025-12-25,CUST-120,Consumer,South,Technology,Phones,Motorola Edge,1,476.74,0.0,124.23,5.08
ORD-1201,2025-12-02,CUST-103,Consumer,West,Furniture,Tables,Conference Table,3,680.43,0.1,103.5,5.47
ORD-1202,2025-06-01,CUST-144,Corporate,South,Furniture,Chairs,Drafting Stool,4,1684.22,0.0,230.51,13.5
ORD-1203,2025-07-02,CUST-132,Consumer,West,Technology,Accessories,Monitor Arm,9,6727.45,0.05,1143.98,23.36
ORD-1204,2025-08-28,CUST-146,Consumer,South,Office Supplies,Art,Drafting Pens,7,3247.44,0.05,369.6,14.59
ORD-1205,2025-02-19,CUST-102,Consumer,North,Furniture,Tables,Conference Table,6,2530.15,0.0,848.03,11.3
ORD-1206,2025-10-29,CUST-125,Home Office,North,Technology,Copiers,Canon ImageCLASS,5,1873.38,0.0,249.85,5.58
ORD-1207,2025-08-19,CUST-138,Consumer,North,Technology,Copiers,Brother Laser Printer,9,1257.69,0.05,128.47,27.04
ORD-1208,2025-06-01,CUST-124,Home Office,South,Furniture,Tables,Conference Table,7,1462.15,0.15,92.16,11.7
ORD-1209,2025-07-01,CUST-130,Consumer,North,Furniture,Furnishings,Desk Lamp,4,165.55,0.0,54.07,7.46
ORD-1210,2025-07-15,CUST-149,Consumer,East,Furniture,Bookcases,Walnut Bookshelf,2,1179.94,0.05,118.46,31.23
